,station,model MAE,baseline mean MAE,baseline median MAE,model MSE,baseline mean MSE,baseline median MSE,model MAPE,baseline mean MAPE,baseline median MAPE,model MASE,baseline mean MASE,baseline median MASE,model type
0,Apollonkatu,4.35952380952381,6.37166934189406,6.559523809523809,31.738571428571433,61.67579604547285,69.29761904761905,3.5210910895926824,7.60822719766879,6.240145468241603,1.2455782312925172,1.8204769548268744,1.8741496598639455,Orthogonal Matching Pursuit
1,Annankatu,2.8095238095238098,3.916666666666666,4.035714285714286,17.62904761904762,29.38980942762156,34.535714285714285,4.386786015090443,8.850051851267764,5.708867630887035,1.2099210198143273,1.686711930164888,1.7379797699875292,Ridge Regression
2,Albertinkatu,2.547619047619048,3.9676297485286254,4.023809523809524,10.09095238095238,23.635462694104277,26.5,4.150571643509987,9.933113738657214,7.9373983246473685,0.9545509342977698,1.4866055766638901,1.507655213984328,Bayesian Ridge
3,Alakiventie,0.5309523809523811,0.6957998929909041,0.5357142857142857,1.1861904761904765,1.0953956631257478,1.369047619047619,1.2717063364935417,3.0960958921993997,0.2874219091351105,0.9067032967032969,1.1882121249536977,0.9148351648351648,Orthogonal Matching Pursuit
4,Ahertajantie,0.7999999999999997,0.9476190476190474,0.8333333333333334,1.6814285714285708,1.7409523809523815,2.380952380952381,1.9476266812781382,3.8030212165772346,0.38002343910287045,1.1099999999999997,1.3148214285714284,1.15625,Ridge Regression
5,Agronominkatu,1.0880952380952378,1.455912252541466,1.5714285714285714,2.7528571428571422,3.8870498554174864,6.190476190476191,2.2133744850755246,5.247162052463146,0.5430126200542178,0.9219738276990184,1.233635572764143,1.331515812431843,Orthogonal Matching Pursuit
6,Agnetankuja,1.5,2.1904761904761907,2.1904761904761907,6.01,9.858803542121302,11.571428571428571,2.441067951690372,7.055744818008837,4.037156152443397,0.8927613941018767,1.303715051704328,1.303715051704328,Orthogonal Matching Pursuit
7,Abraham Wetterin tie,3.826190476190476,4.827849117174959,4.821428571428571,80.91952380952382,106.58607468994411,114.10714285714286,5.5360962949443975,7.212019277220229,3.716468496640175,2.2091398848225894,2.787470751658884,2.783763700538733,Bayesian Ridge
8,"Aalto-yliopisto (M), Tietotie",0.8904761904761901,1.0435527019796684,0.9523809523809523,2.248095238095238,2.4059644946224927,3.2142857142857144,1.5168699349415586,3.880318085246897,0.4021391970230089,1.2127957931638906,1.4212803671134133,1.2971078001752847,Orthogonal Matching Pursuit
9,"Aalto-yliopisto (M), Korkeakouluaukio",2.6904761904761907,5.746762974852862,5.809523809523809,14.800476190476193,51.5965736649413,63.11904761904762,7.016958019837331,16.053068461391877,9.124089669690589,0.8557101923864102,1.8277670206552084,1.8477282030290627,Ridge Regression
10,A.I. Virtasen aukio,1.0095238095238093,1.1042803638309255,1.3095238095238095,1.9338095238095234,2.244673652316626,3.880952380952381,3.053861487874925,4.256460440714713,0.5710175107176404,0.9744099378881984,1.065870612045502,1.263975155279503,Bayesian Ridge
